"idTeam","team","nDays","id","dev_maturity","audit","exposure","exposure_id","severity","hits","severity_id","time_adj","beta_prob","fix_time","fix_date","status","first.seen","last.seen","week.fseen","week.lseen","group"
2,"partner audit",3,1,3,0,"partner",2,"extreme",1,1,0.0661890079794251,0.349597512120435,19,22,0,2020-01-04,2020-01-23,1,4,1
2,"partner audit",17,2,3,0,"partner",2,"extreme",1,1,0.01,0.0761612737383959,1,18,0,2020-01-18,2020-01-19,3,3,1
2,"partner audit",199,3,3,0,"partner",2,"extreme",1,1,0.0972702390884076,0.000688793051460689,1,200,0,2020-07-18,2020-07-19,29,29,1
3,"internal audit",88,4,3,0,"internal",3,"extreme",1,1,0.334084519998239,0.342205824502699,31,119,0,2020-03-29,2020-04-29,13,18,1
3,"internal audit",113,5,3,0,"internal",3,"extreme",2,1,0.01,0.308933831746757,14,127,0,2020-04-23,2020-05-07,17,19,1
3,"internal audit",113,6,3,0,"internal",3,"extreme",2,1,0.354344658811474,0.131987699409658,8,121,0,2020-04-23,2020-05-01,17,18,1
3,"internal audit",191,7,3,0,"internal",3,"extreme",1,1,0.360050614203993,0.359921476704018,20,211,0,2020-07-10,2020-07-30,28,31,1
3,"internal audit",267,8,3,0,"internal",3,"extreme",1,1,0.103175834629743,0.162856606706069,8,275,0,2020-09-24,2020-10-02,39,40,1
3,"internal audit",284,9,3,0,"internal",3,"extreme",3,1,0.152015092193352,0.0420005475507985,1,285,0,2020-10-11,2020-10-12,41,41,1
3,"internal audit",284,10,3,0,"internal",3,"extreme",3,1,0.349627944573271,0.153706953973889,13,297,0,2020-10-11,2020-10-24,41,43,1
3,"internal audit",284,11,3,0,"internal",3,"extreme",3,1,0.313759236103305,0.26618136958911,13,297,0,2020-10-11,2020-10-24,41,43,1
3,"internal audit",328,12,3,0,"internal",3,"extreme",1,1,0.431705531531273,0.193494843984885,11,339,0,2020-11-24,2020-12-05,48,49,1
4,"external no audit",26,13,3,1,"external",1,"extreme",3,1,0.354443610965575,0.185905910488847,8,34,0,2020-01-27,2020-02-04,4,6,1
4,"external no audit",26,14,3,1,"external",1,"extreme",3,1,0.00708190411589837,0.136051510176232,4,30,0,2020-01-27,2020-01-31,4,5,1
4,"external no audit",26,15,3,1,"external",1,"extreme",3,1,0.239939625651191,0.485263410344293,24,50,0,2020-01-27,2020-02-20,4,8,1
4,"external no audit",36,16,3,1,"external",1,"extreme",1,1,0.01,0.407005087770201,16,52,0,2020-02-06,2020-02-22,6,8,1
4,"external no audit",68,17,3,1,"external",1,"extreme",1,1,0.01,0.349048099493919,12,80,0,2020-03-09,2020-03-21,10,12,1
4,"external no audit",102,18,3,1,"external",1,"extreme",1,1,0.159333683751953,0.126786556155185,8,110,0,2020-04-12,2020-04-20,15,16,1
4,"external no audit",122,19,3,1,"external",1,"extreme",1,1,0.537525879062007,0.283256662063276,26,148,0,2020-05-02,2020-05-28,18,22,1
4,"external no audit",256,20,3,1,"external",1,"extreme",3,1,0.399232364940025,0.248597810500102,12,268,0,2020-09-13,2020-09-25,37,39,1
4,"external no audit",256,21,3,1,"external",1,"extreme",3,1,0.01,0.0800872641285425,5,261,0,2020-09-13,2020-09-18,37,38,1
4,"external no audit",256,22,3,1,"external",1,"extreme",3,1,0.230561856616072,0.0703859176197467,4,260,0,2020-09-13,2020-09-17,37,38,1
4,"external no audit",363,23,3,1,"external",1,"extreme",1,1,0.01,8.100220779706e-23,1,364,0,2020-12-29,2020-12-30,53,53,1
5,"partner no audit",10,24,3,1,"partner",2,"extreme",1,1,0.01,0.400469187697128,16,26,0,2020-01-11,2020-01-27,2,4,1
5,"partner no audit",146,25,3,1,"partner",2,"extreme",1,1,0.01,0.12521607677233,7,153,0,2020-05-26,2020-06-02,22,23,1
5,"partner no audit",281,26,3,1,"partner",2,"extreme",2,1,0.255071743358526,0.138306792277538,8,289,0,2020-10-08,2020-10-16,41,42,1
5,"partner no audit",281,27,3,1,"partner",2,"extreme",2,1,0.150094166467368,0.0756200323100886,4,285,0,2020-10-08,2020-10-12,41,41,1
5,"partner no audit",287,28,3,1,"partner",2,"extreme",1,1,0.01,0.00207470798253922,1,288,0,2020-10-14,2020-10-15,42,42,1
6,"internal no audit",59,29,3,1,"internal",3,"extreme",1,1,0.365222341278578,0.272193566985106,27,86,0,2020-02-29,2020-03-27,9,13,1
6,"internal no audit",170,30,3,1,"internal",3,"extreme",2,1,0.307699957227039,0.163429173283733,14,184,0,2020-06-19,2020-07-03,25,27,1
6,"internal no audit",170,31,3,1,"internal",3,"extreme",2,1,0.01,0.21705360355843,8,178,0,2020-06-19,2020-06-27,25,26,1
6,"internal no audit",301,32,3,1,"internal",3,"extreme",1,1,0.01,0.0991509083142221,2,303,0,2020-10-28,2020-10-30,44,44,1
6,"internal no audit",323,33,3,1,"internal",3,"extreme",1,1,0.01,0.00182498578532001,1,324,0,2020-11-19,2020-11-20,47,47,1
1,"external audit",4,34,3,0,"external",1,"critical",1,2,0.386654199342249,0.227832103688543,24,28,0,2020-01-05,2020-01-29,1,5,1
1,"external audit",26,35,3,0,"external",1,"critical",3,2,0.01,0.337954550146379,24,50,0,2020-01-27,2020-02-20,4,8,1
